"Month","T","TM","Tm","R","H","DR","DN","DT","DF","DH","DD","I",
"January","8.2","11.1","5.3","50","69","4.8","0.5","0.4","4.5","1.8","6.5","166",
"February","9.1","12.5","5.7","43","69","4.3","0.7","0.5","3.9","1.6","5.2","175",
"March","11.4","15.2","7.6","44","69","5.1","0.3","0.5","5.0","0.4","5.3","188",
"April","13.2","17.2","9.1","53","68","5.8","0.0","1.3","4.2","0.0","3.9","211",
"May","16.8","21.0","12.5","58","68","5.7","0.0","1.8","4.3","0.0","3.7","248",
"June","20.8","25.2","16.4","30","67","3.5","0.0","1.6","2.4","0.0","5.6","270",
"July","23.8","28.4","19.3","24","66","1.9","0.0","1.2","1.6","0.0","9.1","304",
"August","23.9","28.3","19.5","41","70","4.3","0.0","2.9","1.9","0.0","5.6","262",
"September","20.7","24.6","16.7","75","74","5.5","0.0","3.2","2.6","0.0","3.8","190",
"October","16.8","20.1","13.4","91","75","6.5","0.0","1.8","5.2","0.0","3.4","178",
"November","11.8","14.7","8.8","66","71","5.1","0.1","0.9","4.3","0.2","5.1","158",
"December","9.1","11.8","6.4","46","69","4.6","0.2","0.4","3.6","0.8","6.4","156",
"Year","15.5","19.2","11.7","621","70","57.1","2.0","16.6","43.7","4.9","64.5","-",
